Artist and Title,Artist,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre
Justin Quiles - Si Ella Quisiera,Justin Quiles,129403857,34933,2016.0,World/Traditional,"['reggaeton', 'trap latino', 'urbano latino']",reggaeton,trap latino,urbano latino
Eric Chou - 你，好不好？,Eric Chou,129354149,57649,2016.0,Pop,['mandopop'],mandopop,Unknown,Unknown
Cuco - Amor de Siempre,Cuco,129297128,65970,2016.0,Pop,"['bedroom pop', 'dream pop']",bedroom pop,dream pop,Unknown
Blake Shelton - A Guy with a Girl,Blake Shelton,129103390,24246,2016.0,World/Traditional,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",classic oklahoma country,contemporary country,country
Maiara & Maraisa - 10%,Maiara & Maraisa,129040620,38503,2016.0,World/Traditional,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",sertanejo,sertanejo pop,sertanejo universitario
Sam Feldt - Runaways,Sam Feldt,128816478,22456,2016.0,Electronic/Dance,"['edm', 'pop dance', 'progressive electro house', 'tropical house']",edm,pop dance,progressive electro house
Kehlani - CRZY,Kehlani,128550372,10010,2016.0,Pop,"['pop', 'r&b', 'rap']",pop,r&b,rap
Jorge & Mateus - Louca de Saudade,Jorge & Mateus,128470033,51310,2016.0,World/Traditional,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",agronejo,arrocha,sertanejo
Eric Bellinger - Drive By,Eric Bellinger,128192964,145206,2016.0,Pop,"['pop r&b', 'r&b']",pop r&b,r&b,Unknown
Chase Atlantic - Moonlight,Chase Atlantic,128020848,96090,2016.0,R&B/Soul,['alternative r&b'],alternative r&b,Unknown,Unknown
BIGBANG - FXXK IT,BIGBANG,127873672,29274,2016.0,Pop,"['k-pop', 'k-pop boy group']",k-pop,k-pop boy group,Unknown
A.B. Quintanilla III Y Los Kumbia Kings - Na Na Na (Dulce Niña),A.B. Quintanilla III Y Los Kumbia Kings,127657442,112097,2016.0,R&B/Soul,['tejano'],tejano,Unknown,Unknown
Mueka - DM,Mueka,127611209,95213,2016.0,World/Traditional,['reggaeton flow'],reggaeton flow,Unknown,Unknown
Hillsong Worship - What A Beautiful Name,Hillsong Worship,127575197,32932,2016.0,Other,"['ccm', 'christian music', 'world worship', 'worship']",ccm,christian music,world worship
PNL - Jusqu'au dernier gramme,PNL,126885081,29209,2016.0,Electronic/Dance,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']",indietronica,metropopolis,nu disco
Gerardo Ortiz - ¿Por Qué Terminamos?,Gerardo Ortiz,126737831,62097,2016.0,World/Traditional,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']",banda,corrido,musica mexicana
Nicki Minaj - Black Barbies,Nicki Minaj,126629592,29773,2016.0,Pop,"['hip pop', 'pop', 'queens hip hop', 'rap']",hip pop,pop,queens hip hop
Sak Noel - Trumpets,Sak Noel,126006615,17310,2016.0,,,,,
"Keith Urban - John Cougar, John Deere, John 3:16",Keith Urban,125850224,17037,2016.0,World/Traditional,"['contemporary country', 'country', 'country road', 'modern country rock']",contemporary country,country,country road
Post Malone - Broken Whiskey Glass,Post Malone,125813841,12624,2016.0,Hip-Hop/Rap,"['dfw rap', 'melodic rap', 'pop', 'rap']",dfw rap,melodic rap,pop
Lemaitre - Closer,Lemaitre,125527146,16077,2016.0,Pop,['norwegian pop'],norwegian pop,Unknown,Unknown
Polo & Pan - Canopée,Polo & Pan,125173721,65686,2016.0,Electronic/Dance,"['dark disco', 'electro-pop francais', 'french indietronica']",dark disco,electro-pop francais,french indietronica
Kodak Black - There He Go,Kodak Black,125143033,40262,2016.0,Hip-Hop/Rap,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",florida drill,florida rap,melodic rap
Snakehips - Cruel,Snakehips,125021703,8572,2016.0,Pop,"['electropop', 'uk dance', 'vapor soul']",electropop,uk dance,vapor soul
The Mayries - Rockabye,The Mayries,124935075,23437,2016.0,Pop,"['acoustic cover', 'acoustic pop']",acoustic cover,acoustic pop,Unknown
RADWIMPS - Dream lantern,RADWIMPS,124887892,100925,2016.0,Pop,"['j-pop', 'j-rock', 'visual kei']",j-pop,j-rock,visual kei
Maleek Berry - Kontrol,Maleek Berry,124708089,51927,2016.0,World/Traditional,"['afrobeats', 'afropop', 'nigerian pop', 'swedish dancehall', 'uk dancehall']",afrobeats,afropop,nigerian pop
Travis Scott - coordinate,Travis Scott,124707490,42095,2016.0,Hip-Hop/Rap,"['rap', 'slap house']",rap,slap house,Unknown
Hoodie Allen - Surprise Party,Hoodie Allen,124380450,15239,2016.0,Pop,['indie pop rap'],indie pop rap,Unknown,Unknown
Cody Johnson - Wild as You,Cody Johnson,124291671,117710,2016.0,World/Traditional,"['classic texas country', 'contemporary country', 'modern country pop']",classic texas country,contemporary country,modern country pop
Pritam - Bulleya,Pritam,122876004,142853,2016.0,World/Traditional,"['filmi', 'indian instrumental', 'modern bollywood']",filmi,indian instrumental,modern bollywood
NF - Grindin',NF,122864355,19943,2016.0,Pop,['musical advocacy'],musical advocacy,Unknown,Unknown
PNL - DA,PNL,122796510,49438,2016.0,Electronic/Dance,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']",indietronica,metropopolis,nu disco
Sertab Erener - Olsun,Sertab Erener,122669008,91455,2016.0,R&B/Soul,"['turkish jazz', 'turkish pop', 'turkish singer-songwriter']",turkish jazz,turkish pop,turkish singer-songwriter
Highly Suspect - My Name Is Human,Highly Suspect,122568628,32938,2016.0,Rock,"['modern alternative rock', 'modern rock', 'post-grunge']",modern alternative rock,modern rock,post-grunge
James Hersey - Miss You,James Hersey,122521303,1925,2016.0,,,,,
"Arijit Singh - Sooraj Dooba Hain (From ""Roy"")",Arijit Singh,122495441,128190,2016.0,World/Traditional,"['filmi', 'modern bollywood']",filmi,modern bollywood,Unknown
Kanye West - Feedback,Kanye West,122338629,25530,2016.0,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap
Chance the Rapper - Summer Friends,Chance the Rapper,122276506,9690,2016.0,Hip-Hop/Rap,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",chicago rap,conscious hip hop,hip hop
Empire Of The Sun - High And Low,Empire Of The Sun,122115726,60838,2016.0,Electronic/Dance,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",australian dance,australian electropop,dance rock
21 Savage - Red Opps,21 Savage,122066357,21358,2016.0,Hip-Hop/Rap,"['atl hip hop', 'hip hop', 'rap']",atl hip hop,hip hop,rap
Isaiah Rashad - 4r Da Squaw,Isaiah Rashad,121973216,27613,2016.0,Hip-Hop/Rap,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",hip hop,rap,tennessee hip hop
RADWIMPS - 前前前世,RADWIMPS,121946815,80211,2016.0,Pop,"['j-pop', 'j-rock', 'visual kei']",j-pop,j-rock,visual kei
Anna Kendrick - Get Back Up Again,Anna Kendrick,121914417,58306,2016.0,Pop,"['hollywood', 'movie tunes']",hollywood,movie tunes,Unknown
Charlotte Day Wilson - Work,Charlotte Day Wilson,121901528,36406,2016.0,R&B/Soul,"['alternative r&b', 'canadian contemporary r&b', 'indie soul']",alternative r&b,canadian contemporary r&b,indie soul
Ricardo Montaner - Aunque Ahora Estés Con El,Ricardo Montaner,121845386,28924,2016.0,Pop,['latin pop'],latin pop,Unknown,Unknown
PornoGraffitti - THE DAY,PornoGraffitti,121663510,56658,2016.0,Pop,"['j-pop', 'j-rock']",j-pop,j-rock,Unknown
Reykon - El Chisme,Reykon,121554252,7310,2016.0,World/Traditional,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",reggaeton,reggaeton colombiano,trap latino
Jay Chou - 告白氣球,Jay Chou,121173301,53203,2016.0,Pop,"['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']",c-pop,mandopop,taiwan pop
Whethan - When I'm Down,Whethan,120767560,12549,2016.0,Pop,"['electropop', 'hyperpop', 'rage rap']",electropop,hyperpop,rage rap
Anitta - Sim ou não (Participação especial de Maluma),Anitta,120573011,25137,2016.0,Pop,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']",funk pop,funk rj,pagode baiano
Wiz Khalifa - Bake Sale,Wiz Khalifa,120414274,6357,2016.0,Hip-Hop/Rap,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",hip hop,pittsburgh rap,pop rap
Ayo Jay - Your Number,Ayo Jay,120400858,75240,2016.0,World/Traditional,['afrobeats'],afrobeats,Unknown,Unknown
Russ - Do It Myself,Russ,120176718,13482,2016.0,,,,,
Koe Wetzel - Something to Talk About,Koe Wetzel,120161112,97031,2016.0,World/Traditional,"['classic texas country', 'modern country pop']",classic texas country,modern country pop,Unknown
Kamaiyah - Fuck It Up,Kamaiyah,119932396,25543,2016.0,R&B/Soul,"['alternative r&b', 'cali rap', 'oakland hip hop']",alternative r&b,cali rap,oakland hip hop
Marshmello - Summer,Marshmello,119875496,13598,2016.0,Electronic/Dance,"['brostep', 'edm', 'pop', 'progressive electro house']",brostep,edm,pop
David Nail - Night's On Fire,David Nail,119709766,11285,2016.0,World/Traditional,"['contemporary country', 'country road', 'modern country rock']",contemporary country,country road,modern country rock
Carlos Rivera - Otras Vidas,Carlos Rivera,119678989,34973,2016.0,Pop,"['latin arena pop', 'latin pop', 'mexican pop', 'musica tlaxcalteca']",latin arena pop,latin pop,mexican pop
Maná - De Pies a Cabeza,Maná,119477204,12624,2016.0,Pop,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']",latin arena pop,latin pop,latin rock
Jake Owen - American Country Love Song,Jake Owen,118888067,23302,2016.0,World/Traditional,"['contemporary country', 'country', 'country road']",contemporary country,country,country road
Morat - Mil Tormentas,Morat,118635730,34464,2016.0,Pop,"['colombian pop', 'latin pop', 'latin viral pop']",colombian pop,latin pop,latin viral pop
Gryffin - Whole Heart,Gryffin,118633659,9443,2016.0,Electronic/Dance,"['edm', 'pop dance']",edm,pop dance,Unknown
Maggie Lindemann - Pretty Girl,Maggie Lindemann,118436324,27360,2016.0,Hip-Hop/Rap,"['alt z', 'dark pop', 'pop']",alt z,dark pop,pop
Matheus & Kauan - A Rosa E O Beija-Flor,Matheus & Kauan,118373799,95079,2016.0,World/Traditional,"['agronejo', 'arrocha', 'pop nacional', 'sertanejo', 'sertanejo universitario']",agronejo,arrocha,pop nacional
Kungs - Don't You Know,Kungs,118331901,17922,2016.0,Electronic/Dance,"['edm', 'pop dance', 'uk dance']",edm,pop dance,uk dance
"Arijit Singh - Itni Si Baat Hain (From ""Azhar"")",Arijit Singh,117873504,132730,2016.0,World/Traditional,"['filmi', 'modern bollywood']",filmi,modern bollywood,Unknown
EXO - Lotto,EXO,117582807,25795,2016.0,,,,,
Red Hot Chili Peppers - Goodbye Angels,Red Hot Chili Peppers,117573286,22755,2016.0,Rock,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",alternative rock,funk metal,funk rock
Wale - MY PYT,Wale,117512682,7253,2016.0,Pop,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",pop rap,r&b,rap
Kanye West - I Love Kanye,Kanye West,117478682,30146,2016.0,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap
BTS - Intro: Boy Meets Evil,BTS,117346240,17069,2016.0,Pop,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']",alternative pop rock,neon pop punk,pop emo
MadeinTYO - I Want,MadeinTYO,116995459,4129,2016.0,Hip-Hop/Rap,"['atl hip hop', 'melodic rap', 'trap']",atl hip hop,melodic rap,trap
Nick Jonas - Chainsaw,Nick Jonas,116933733,4312,2016.0,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown
Drake - Weston Road Flows,Drake,116745394,27732,2016.0,Hip-Hop/Rap,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",canadian hip hop,canadian pop,hip hop
Kanye West - 30 Hours,Kanye West,116598421,44924,2016.0,Hip-Hop/Rap,"['chicago rap', 'hip hop', 'rap']",chicago rap,hip hop,rap
$uicideboy$ - Magazine,$uicideboy$,116419913,22910,2016.0,Hip-Hop/Rap,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",cloud rap,dark trap,new orleans rap
Travis Scott - the ends,Travis Scott,116042855,47805,2016.0,Hip-Hop/Rap,"['rap', 'slap house']",rap,slap house,Unknown
Travis Scott - A-Team,Travis Scott,115833253,20921,2016.0,Hip-Hop/Rap,"['rap', 'slap house']",rap,slap house,Unknown
Joyner Lucas - I'm Sorry,Joyner Lucas,115791127,9540,2016.0,Hip-Hop/Rap,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",boston hip hop,hip hop,pop rap
Juan Magán - Baila Conmigo,Juan Magán,115641061,5013,2016.0,Hip-Hop/Rap,"['electro latino', 'spanish pop']",electro latino,spanish pop,Unknown
Beyoncé - Daddy Lessons,Beyoncé,115190801,31758,2016.0,Pop,"['pop', 'r&b']",pop,r&b,Unknown
Scarlett Johansson - Set It All Free,Scarlett Johansson,115134856,51688,2016.0,Pop,"['hollywood', 'nyc pop']",hollywood,nyc pop,Unknown
Justin Timberlake - CAN'T STOP THE FEELING!,Justin Timberlake,114958165,48061,2016.0,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown
J. Cole - She's Mine Pt. 2,J. Cole,114928505,41645,2016.0,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
Gojira - Stranded,Gojira,114858501,121071,2016.0,Metal,"['alternative metal', 'french death metal', 'french metal', 'groove metal', 'metal', 'nu metal', 'progressive groove metal']",alternative metal,french death metal,french metal
Post Malone - Cold,Post Malone,114796432,9630,2016.0,Hip-Hop/Rap,"['dfw rap', 'melodic rap', 'pop', 'rap']",dfw rap,melodic rap,pop
Travis Scott - sweet sweet,Travis Scott,114782945,43399,2016.0,Hip-Hop/Rap,"['rap', 'slap house']",rap,slap house,Unknown
Morat - Cuánto Me Duele,Morat,114594750,20332,2016.0,Pop,"['colombian pop', 'latin pop', 'latin viral pop']",colombian pop,latin pop,latin viral pop
